,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy,filename,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1
0,0,0,0,0,0.0489066549283825,9.18627603555991,1.3417562119072104,2545802850.0,52655155386.97551,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_1_all_csv\std_mean00_1.csv,,
1,1,1,1,1,-0.05080986686972384,11.001029765245038,1.378861946849857,2463648020.0,50790182087.60512,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_1_all_csv\std_mean00_1.csv,,
2,2,2,2,2,0.06961822149257484,11.673138429051427,1.1270503562278866,3190614824.0,67520254300.526436,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_1_all_csv\std_mean00_1.csv,,
3,3,3,3,3,0.09191480316592014,12.143274575716918,1.41763010241667,2351021838.0,48231140904.419716,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_1_all_csv\std_mean00_1.csv,,
4,4,4,4,4,0.03268287765211746,13.314769279064539,1.5457828360570949,2085233888.0,42294981620.68728,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_1_all_csv\std_mean00_1.csv,,
5,5,5,5,5,0.029566753862331336,12.098049405482335,1.4301507806970213,2341309542.0,48033893268.09805,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_1_all_csv\std_mean00_1.csv,,
6,6,6,6,6,-0.025445436670843653,12.698322473000117,1.5770875356760692,2014232710.0,40718550664.85814,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_1_all_csv\std_mean00_1.csv,,
7,7,7,7,7,0.05476763492609234,10.991008362046491,1.4637362258325874,2266074122.0,46344495846.2376,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_1_all_csv\std_mean00_1.csv,,
8,8,8,8,8,0.05606951377634448,11.98780157656847,1.4728124096043786,2231357684.0,45552174234.6512,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_1_all_csv\std_mean00_1.csv,,
9,9,9,9,9,0.07525976056995494,11.685520039550829,1.473691539657518,2232057100.0,45574678622.94675,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_1_all_csv\std_mean00_1.csv,,
